idV,idC,asignado,distancia
1,1,0,48.0734285962022
1,2,0,126.490809496307
1,3,0,97.4289373050951
1,4,0,97.4289373050951
1,5,0,130.383796253382
1,6,0,130.383796253382
1,7,0,29.1624993455316
1,8,0,54.5850479923316
1,9,0,84.1403096569764
1,10,1,28.5624385978325
1,11,0,28.5624385978325
2,1,0,39.3743726593705
2,2,0,83.8698697492332
2,3,0,58.7700974087823
2,4,0,58.7700974087823
2,5,0,87.8296974531909
2,6,0,87.8296974531909
2,7,1,13.6781164266039
2,8,0,13.417706870593
2,9,0,43.2352773633209
2,10,0,52.1626559674524
2,11,0,52.1626559674524
3,1,0,25.5468308980499
3,2,0,91.5972994125391
3,3,0,58.1434931365934
3,4,0,58.1434931365934
3,5,0,92.7732445378408
3,6,0,92.7732445378408
3,7,1,15.9638818578299
3,8,0,26.154906850923
3,9,0,54.3508823552839
3,10,0,41.1975754715038
3,11,0,41.1975754715038
4,1,0,57.2790393280732
4,2,0,64.4507061887391
4,3,0,52.298102460815
4,4,0,52.298102460815
4,5,0,71.4779926318897
4,6,0,71.4779926318897
4,7,0,33.9511909831047
4,8,1,8.33677457525146
4,9,0,21.7097035783526
4,10,0,73.8157278494506
4,11,0,73.8157278494506
5,1,0,91.1316514244154
5,2,0,150.892095106175
5,3,0,99.3052907631039
5,4,0,99.3052907631039
5,5,0,135.65232421249
5,6,0,135.65232421249
5,7,0,128.661112575317
5,8,0,131.951630264362
5,9,0,144.709744360581
5,10,1,111.782406288581
5,11,0,111.782406288581
6,1,0,86.4823454285855
6,2,0,66.2160980093303
6,3,0,33.1550612957657
6,4,0,33.1550612957657
6,5,1,47.8765066719716
6,6,0,47.8765066719716
6,7,0,102.992483467772
6,8,0,87.7586028647992
6,9,0,80.6833127519885
6,10,0,118.822539156806
6,11,0,118.822539156806
7,1,0,60.4896908021392
7,2,0,105.936657186672
7,3,0,89.4568561754581
7,4,0,89.4568561754581
7,5,0,113.82028150614
7,6,0,113.82028150614
7,7,1,22.8436685999988
7,8,0,36.3515924424684
7,9,0,61.3629003591951
7,10,0,55.5438180908229
7,11,0,55.5438180908229
8,1,0,52.0459141447116
8,2,0,76.7099342659341
8,3,0,60.5724784449226
8,4,0,60.5724784449226
8,5,0,83.3751555437369
8,6,0,83.3751555437369
8,7,0,22.6651590973956
8,8,1,5.99993422257397
8,9,0,33.4307874794408
8,10,0,64.0652545027916
8,11,0,64.0652545027916
9,1,0,69.5010514265639
9,2,0,65.4483586048728
9,3,0,63.587189442449
9,4,0,63.587189442449
9,5,0,75.9977093044739
9,6,0,75.9977093044739
9,7,0,40.6494993094938
9,8,1,19.0067542431661
9,9,0,20.8196763845243
9,10,0,82.5099543220514
9,11,0,82.5099543220514
10,1,0,71.1829840504213
10,2,0,38.6919157790302
10,3,0,37.1296271073264
10,4,0,37.1296271073264
10,5,0,45.0329313983973
10,6,0,45.0329313983973
10,7,0,58.6811812054331
10,8,0,33.6909358631088
10,9,1,13.9403888671388
10,10,0,94.6285214698827
10,11,0,94.6285214698827
11,1,0,80.3467589809854
11,2,0,43.6950597851468
11,3,0,18.4795321889593
11,4,0,18.4795321889593
11,5,1,28.5936973522524
11,6,0,28.5936973522524
11,7,0,87.7322547722265
11,8,0,68.569492838182
11,9,0,56.9194264505987
11,10,0,111.371425947065
11,11,0,111.371425947065
12,1,0,114.324732707229
12,2,0,17.5499863183631
12,3,0,55.6643046717757
12,4,0,55.6643046717757
12,5,1,12.3993601583808
12,6,0,12.3993601583808
12,7,0,110.19887388143
12,8,0,85.750139072117
12,9,0,60.5239971941555
12,10,0,142.4906231137
12,11,0,142.4906231137
13,1,0,96.814568727271
13,2,1,9.94720341960607
13,3,0,46.0185543166087
13,4,0,46.0185543166087
13,5,0,22.3016197129331
13,6,0,22.3016197129331
13,7,0,87.4932808840395
13,8,0,62.3394377528158
13,9,0,35.8156337975518
13,10,0,122.535094594977
13,11,0,122.535094594977
14,1,0,55.5641110785075
14,2,0,97.2607406316361
14,3,1,44.6671238773046
14,4,0,44.6671238773046
14,5,0,83.8445647881959
14,6,0,83.8445647881959
14,7,0,85.8813480767437
14,8,0,82.1067516730205
14,9,0,90.702182615207
14,10,0,86.1884916522427
14,11,0,86.1884916522427
15,1,0,95.6087697626452
15,2,0,86.0319823450121
15,3,0,51.3082592316809
15,4,0,51.3082592316809
15,5,1,66.935256521666
15,6,0,66.935256521666
15,7,0,117.647090774304
15,8,0,105.105137639565
15,9,0,100.613602450759
15,10,0,127.711570278263
15,11,0,127.711570278263
16,1,0,71.7346211707098
16,2,0,116.040762233976
16,3,0,102.235359943673
16,4,0,102.235359943673
16,5,0,125.089195221959
16,6,0,125.089195221959
16,7,1,35.26590381889
16,8,0,48.525724412917
16,9,0,71.2946638826401
16,10,0,62.164218191496
16,11,0,62.164218191496
17,1,0,35.3992190268155
17,2,0,124.625682657884
17,3,0,72.424908498957
17,4,0,72.424908498957
17,5,0,115.79882235228
17,6,0,115.79882235228
17,7,0,73.8170419927109
17,8,0,82.9034049539268
17,9,0,103.350147090967
17,10,1,55.0125203089071
17,11,0,55.0125203089071
18,1,0,14.2885314124657
18,2,0,118.982188007852
18,3,0,76.0294305723389
18,4,0,76.0294305723389
18,5,0,116.631249648837
18,6,0,116.631249648837
18,7,0,39.4590557415629
18,8,0,57.686673080843
18,9,0,85.2879762863209
18,10,1,18.5492617557148
18,11,0,18.5492617557148
19,1,0,90.2322495119897
19,2,0,20.7996327759489
19,3,0,33.2030363104053
19,4,0,33.2030363104053
19,5,1,13.9718503293844
19,6,0,13.9718503293844
19,7,0,87.522767547868
19,8,0,64.0976995137345
19,9,0,43.1486443338941
19,10,0,118.498612348847
19,11,0,118.498612348847
20,1,0,120.045564975577
20,2,0,16.1052477028377
20,3,0,63.2187248534146
20,4,0,63.2187248534146
20,5,1,21.1765297826047
20,6,0,21.1765297826047
20,7,0,113.071641051184
20,8,0,87.9846413043886
20,9,0,60.8433624436461
20,10,0,147.168037319365
20,11,0,147.168037319365
21,1,0,70.1313123754258
21,2,0,37.2606873259584
21,3,0,19.4725599921845
21,4,0,19.4725599921845
21,5,1,33.8863089350095
21,6,0,33.8863089350095
21,7,0,68.4510716075208
21,8,0,46.6543335181666
21,9,0,33.6654562569704
21,10,0,98.1983491972489
21,11,0,98.1983491972489
22,1,0,42.1534491954463
22,2,0,75.7305264566992
22,3,1,23.2676052375227
22,4,0,23.2676052375227
22,5,0,66.7352047224694
22,6,0,66.7352047224694
22,7,0,62.10142925805
22,8,0,54.1584729955523
22,9,0,62.3931167407083
22,10,0,74.4015360294745
22,11,0,74.4015360294745
23,1,0,68.1184508548868
23,2,0,51.1075035438225
23,3,0,6.60674611848521
23,4,1,6.60674611848521
23,5,0,39.0962719570272
23,6,0,39.0962719570272
23,7,0,77.5480183431189
23,8,0,60.4114751873345
23,9,0,53.9832320348517
23,10,0,99.3427764067157
23,11,0,99.3427764067157
24,1,0,92.4572935832905
24,2,0,163.251403357716
24,3,0,110.542717297933
24,4,0,110.542717297933
24,5,0,149.086684156025
24,6,0,149.086684156025
24,7,0,130.81511488662
24,8,0,137.343455699812
24,9,0,153.07759185876
24,10,1,108.514776665374
24,11,0,108.514776665374
25,1,0,91.9711219776224
25,2,0,67.9235874719962
25,3,0,38.4405052356197
25,4,0,38.4405052356197
25,5,1,48.8630185710009
25,6,0,48.8630185710009
25,7,0,108.552972052304
25,8,0,93.0269294465056
25,9,0,85.0076532427436
25,10,0,124.325764890333
25,11,0,124.325764890333
26,1,0,74.6843628945507
26,2,0,113.35275787758
26,3,0,101.969102942915
26,4,0,101.969102942915
26,5,0,123.108221529848
26,6,0,123.108221529848
26,7,1,37.2744651873872
26,8,0,47.6734241584844
26,9,0,68.6832548213385
26,10,0,66.7419171485225
26,11,0,66.7419171485225
27,1,0,54.6753998714017
27,2,0,130.142129842968
27,3,0,102.949151802059
27,4,0,102.949151802059
27,5,0,134.823786724692
27,6,0,134.823786724692
27,7,0,33.3302497685561
27,8,0,58.0536353903613
27,9,0,87.0652707643438
27,10,1,34.0096058359173
27,11,0,34.0096058359173
28,1,0,95.6465731746294
28,2,0,13.1715768344401
28,3,0,40.4330681197477
28,4,0,40.4330681197477
28,5,1,13.6529990310517
28,6,0,13.6529990310517
28,7,0,90.2328720078712
28,8,0,65.8983675969287
28,9,0,42.0518795165188
28,10,0,123.003188607746
28,11,0,123.003188607746
29,1,0,58.3955605880689
29,2,0,101.275685697478
29,3,0,84.9398346111802
29,4,0,84.9398346111802
29,5,0,109.054131758951
29,6,0,109.054131758951
29,7,1,20.1164833259107
29,8,0,31.6062820524294
29,9,0,56.7642130913951
29,10,0,56.0749130016299
29,11,0,56.0749130016299
30,1,0,54.5167408114304
30,2,0,86.7852736712657
30,3,1,34.1771704972667
30,4,0,34.1771704972667
30,5,0,73.6992059274103
30,6,0,73.6992059274103
30,7,0,80.999570072958
30,8,0,74.5935613519523
30,9,0,81.093488839869
30,10,0,86.3811227900371
30,11,0,86.3811227900371
31,1,0,136.044553420134
31,2,0,176.426298730401
31,3,1,130.497488400154
31,4,0,130.497488400154
31,5,0,158.297946534071
31,6,0,158.297946534071
31,7,0,172.373237063369
31,8,0,172.177329009504
31,9,0,179.976678696377
31,10,0,158.398390015137
31,11,0,158.398390015137
32,1,0,35.9923308748538
32,2,0,118.015125705923
32,3,0,65.3120535645499
32,4,0,65.3120535645499
32,5,0,108.5066669943
32,6,0,108.5066669943
32,7,0,73.839410933032
32,8,0,80.3526237719547
32,9,0,98.9237077263109
32,10,1,59.7312620475678
32,11,0,59.7312620475678
33,1,0,106.538010238972
33,2,0,149.119091111924
33,3,0,140.182647396404
33,4,0,140.182647396404
33,5,0,160.320877900185
33,6,0,160.320877900185
33,7,0,72.7000806475458
33,8,0,85.9527821772701
33,9,0,105.096421037515
33,10,1,89.0618948281296
33,11,0,89.0618948281296
34,1,0,101.62425261253
34,2,0,7.51067650036722
34,3,0,46.6592248532102
34,4,0,46.6592248532102
34,5,1,13.8657833527303
34,6,0,13.8657833527303
34,7,0,94.9954169949177
34,8,0,70.2469712440091
34,9,0,44.7792105496811
34,10,0,128.605168807452
34,11,0,128.605168807452
35,1,0,80.4973061141088
35,2,0,95.0682429189614
35,3,1,49.8883172821078
35,4,0,49.8883172821078
35,5,0,77.8899314692935
35,6,0,77.8899314692935
35,7,0,107.333058295275
35,8,0,98.9248902680606
35,9,0,100.46266861716
35,10,0,111.767816097514
35,11,0,111.767816097514
36,1,0,36.20144117931
36,2,0,109.465430741488
36,3,0,79.8725408039541
36,4,0,79.8725408039541
36,5,0,112.754461137995
36,6,0,112.754461137995
36,7,0,12.5856737690026
36,8,0,38.2197706638313
36,9,0,68.2059473520774
36,10,1,31.0167546038941
36,11,0,31.0167546038941
37,1,0,85.03867276748
37,2,0,105.974416217809
37,3,0,102.564120971358
37,4,0,102.564120971358
37,5,0,117.959209699575
37,6,0,117.959209699575
37,7,1,46.618254502508
37,8,0,48.3999546370076
37,9,0,62.4532835103531
37,10,0,81.3397459002635
37,11,0,81.3397459002635
38,1,0,78.0999839556619
38,2,0,68.3488418542902
38,3,1,28.0491664913414
38,4,0,28.0491664913414
38,5,0,51.3793624532563
38,6,0,51.3793624532563
38,7,0,95.9992059824655
38,8,0,82.1138078564806
38,9,0,77.7171181066257
38,10,0,110.464827318534
38,11,0,110.464827318534
39,1,0,72.4157431229147
39,2,0,51.1169192764657
39,3,1,11.585433813486
39,4,0,11.585433813486
39,5,0,37.3542008296183
39,6,0,37.3542008296183
39,7,0,82.6074063903217
39,8,0,65.3655746631652
39,9,0,57.8254109602893
39,10,0,103.877386626989
39,11,0,103.877386626989
40,1,0,103.706108781519
40,2,0,24.2894358377411
40,3,0,43.1794894981044
40,4,0,43.1794894981044
40,5,1,4.18337051989014
40,6,0,4.18337051989014
40,7,0,103.601954977306
40,8,0,80.4796764873152
40,9,0,58.9348835914062
40,10,0,133.10203087562
40,11,0,133.10203087562
41,1,0,77.8227309639028
41,2,0,174.336921529018
41,3,0,121.741548111864
41,4,0,121.741548111864
41,5,0,164.824827796998
41,6,0,164.824827796998
41,7,0,113.256740644618
41,8,0,128.301995210709
41,9,0,151.670382906267
41,10,1,78.7882194545108
41,11,0,78.7882194545108
42,1,0,21.7664819900905
42,2,0,109.802373271336
42,3,0,73.5090872371338
42,4,0,73.5090872371338
42,5,0,110.380855434487
42,6,0,110.380855434487
42,7,0,21.4831615038667
42,8,0,42.7376517477613
42,9,0,72.0478222358158
42,10,1,23.0748003368469
42,11,0,23.0748003368469
43,1,0,41.6623061967555
43,2,0,125.277803865165
43,3,0,93.5662961246236
43,4,0,93.5662961246236
43,5,0,128.097113245984
43,6,0,128.097113245984
43,7,0,28.3775210565016
43,8,0,54.0718988709619
43,9,0,84.0199222084978
43,10,1,21.8786158189764
43,11,0,21.8786158189764
44,1,0,71.5621010172955
44,2,0,57.9484252538516
44,3,0,14.9352308022097
44,4,1,14.9352308022097
44,5,0,43.2296125404184
44,6,0,43.2296125404184
44,7,0,85.0933089560607
44,8,0,69.513527256269
44,9,0,64.1335475908592
44,10,0,103.545458818038
44,11,0,103.545458818038
45,1,0,77.1264240702183
45,2,0,158.526864932945
45,3,0,105.11763623426
45,4,0,105.11763623426
45,5,0,146.277135809671
45,6,0,146.277135809671
45,7,0,115.466354681728
45,8,0,124.664024379382
45,9,0,143.26100115771
45,10,1,90.0649154201375
45,11,0,90.0649154201375
46,1,0,83.921469995621
46,2,0,129.786701339751
46,3,1,79.6671173635843
46,4,0,79.6671173635843
46,5,0,113.813200048291
46,6,0,113.813200048291
46,7,0,119.007713751723
46,8,0,118.263272104261
46,9,0,127.449491904668
46,10,0,109.65593770829
46,11,0,109.65593770829
47,1,0,59.1414745895533
47,2,0,81.637337788678
47,3,1,30.0703117341483
47,4,0,30.0703117341483
47,5,0,67.8522125739105
47,6,0,67.8522125739105
47,7,0,83.2728949554845
47,8,0,74.8374678463751
47,9,0,78.8495700939006
47,10,0,91.3057480383078
47,11,0,91.3057480383078
48,1,0,51.9935863481906
48,2,0,123.143743841695
48,3,0,69.7278549327402
48,4,0,69.7278549327402
48,5,0,111.289978172033
48,6,0,111.289978172033
48,7,0,89.3067758127843
48,8,0,93.6304477264437
48,9,0,109.335808426108
48,10,1,75.574758574031
48,11,0,75.574758574031
49,1,0,53.8492468450671
49,2,0,93.9884468052667
49,3,1,41.2237685836372
49,4,0,41.2237685836372
49,5,0,80.8710898582212
49,6,0,80.8710898582212
49,7,0,83.1710070702427
49,8,0,78.8102034922745
49,9,0,87.1223674824634
49,10,0,84.9395822600448
49,11,0,84.9395822600448
50,1,0,51.0041914357043
50,2,0,69.3863154855943
50,3,0,15.998338503032
50,4,1,15.998338503032
50,5,0,58.9572445103116
50,6,0,58.9572445103116
50,7,0,68.4239867884458
50,8,0,57.5071975770695
50,9,0,61.2838139666249
50,10,0,83.1559218910097
50,11,0,83.1559218910097
51,1,0,82.4488783586564
51,2,0,124.286106411668
51,3,0,113.03261589225
51,4,0,113.03261589225
51,5,0,134.340821037916
51,6,0,134.340821037916
51,7,1,46.4887338829349
51,8,0,58.8968888800034
51,9,0,79.7111016814751
51,10,0,70.4477772982143
51,11,0,70.4477772982143
52,1,0,68.1891845336098
52,2,0,77.1560381139996
52,3,0,29.2335491371937
52,4,1,29.2335491371937
52,5,0,61.782263999553
52,6,0,61.782263999553
52,7,0,90.0733441202676
52,8,0,79.3320885168997
52,9,0,79.7635021008791
52,10,0,100.484517177068
52,11,0,100.484517177068
53,1,0,55.8667620283987
53,2,0,65.8181759329797
53,3,0,12.5775533108204
53,4,1,12.5775533108204
53,5,0,54.5744861019281
53,6,0,54.5744861019281
53,7,0,71.9048372179053
53,8,0,59.5078506427998
53,9,0,60.8186702793378
53,10,0,87.9421842234563
53,11,0,87.9421842234563
54,1,0,51.847244815148
54,2,0,147.311189394008
54,3,0,95.1105777804912
54,4,0,95.1105777804912
54,5,0,138.434806889275
54,6,0,138.434806889275
54,7,0,88.9163319596845
54,8,0,101.976217958833
54,9,0,124.53854922279
54,10,1,59.8506200215326
54,11,0,59.8506200215326
55,1,0,98.1008990555967
55,2,0,16.8159930087296
55,3,0,40.1137318264509
55,4,0,40.1137318264509
55,5,1,6.87339849964557
55,6,0,6.87339849964557
55,7,0,95.0974237239661
55,8,0,71.3082479249726
55,9,0,48.6661277671683
55,10,0,126.419629786639
55,11,0,126.419629786639
56,1,0,97.7428543027372
56,2,0,30.1175558665237
56,3,0,36.3987753558943
56,4,0,36.3987753558943
56,5,1,10.7795136823695
56,6,0,10.7795136823695
56,7,0,100.069972897406
56,8,0,77.9559046923117
56,9,0,58.9791973461644
56,10,0,127.777022008568
56,11,0,127.777022008568
57,1,0,67.6359769598209
57,2,0,103.866588705169
57,3,0,91.7753407350134
57,4,0,91.7753407350134
57,5,0,113.122641579379
57,6,0,113.122641579379
57,7,1,29.3544030555935
57,8,0,37.4107973820286
57,9,0,59.122706704675
57,10,0,63.857262541713
57,11,0,63.857262541713
58,1,0,99.3841852452053
58,2,0,20.3533442941218
58,3,0,40.0294754047868
58,4,0,40.0294754047868
58,5,1,3.71208592247368
58,6,0,3.71208592247368
58,7,0,97.9125529984514
58,8,0,74.5166517772318
58,9,0,52.6947249317922
58,10,0,128.262289739757
58,11,0,128.262289739757
59,1,0,53.1442572440175
59,2,0,114.535026034434
59,3,0,91.8324472385129
59,4,0,91.8324472385129
59,5,0,120.518014187061
59,6,0,120.518014187061
59,7,1,20.8296087305787
59,8,0,42.7339206991283
59,9,0,70.7701858097335
59,10,0,42.8877045235155
59,11,0,42.8877045235155
60,1,0,68.6177479042221
60,2,0,43.4593774565283
60,3,0,10.0243229406287
60,4,1,10.0243229406287
60,5,0,34.8291157540832
60,6,0,34.8291157540832
60,7,0,72.8106157303041
60,8,0,53.3940545218221
60,9,0,44.1346899742315
60,10,0,98.5484939405303
60,11,0,98.5484939405303
61,1,0,83.7597236409982
61,2,0,65.3988736913173
61,3,0,30.493495716837
61,4,0,30.493495716837
61,5,1,47.4963982219632
61,6,0,47.4963982219632
61,7,0,100.181387845617
61,8,0,85.0809966926598
61,9,0,78.4861737800676
61,10,0,116.088195513774
61,11,0,116.088195513774
62,1,0,16.6220886749422
62,2,0,114.684522426407
62,3,0,65.470067880231
62,4,0,65.470067880231
62,5,0,108.564835646218
62,6,0,108.564835646218
62,7,0,55.0365038508457
62,8,0,65.6449389838589
62,9,0,88.4612620777591
62,10,1,40.1664235836423
62,11,0,40.1664235836423
63,1,0,67.8378732935795
63,2,0,44.8858357425718
63,3,0,40.9239070837762
63,4,0,40.9239070837762
63,5,0,51.9398622697889
63,6,0,51.9398622697889
63,7,0,52.5537994656481
63,8,0,27.2104063290961
63,9,1,10.2581811617451
63,10,0,89.6942251038885
63,11,0,89.6942251038885
64,1,0,37.5719543993752
64,2,0,86.2809091514753
64,3,1,33.4815349267493
64,4,0,33.4815349267493
64,5,0,76.8144990186304
64,6,0,76.8144990186304
64,7,0,63.9135166819027
64,8,0,60.065527671763
64,9,0,71.5989752821371
64,10,0,69.8140432761253
64,11,0,69.8140432761253
65,1,0,84.7048587166581
65,2,0,63.6731263425358
65,3,0,30.277609927375
65,4,0,30.277609927375
65,5,1,45.6389830045891
65,6,0,45.6389830045891
65,7,0,100.417326276753
65,8,0,84.8782100269803
65,9,0,77.6076221351983
65,10,0,116.998574917024
65,11,0,116.998574917024
66,1,0,17.4171683562845
66,2,0,115.192736913335
66,3,0,75.5952503997814
66,4,0,75.5952503997814
66,5,0,114.415292419566
66,6,0,114.415292419566
66,7,0,30.3750099726149
66,8,0,50.4926364196139
66,9,0,79.1650558421952
66,10,1,17.5637249730766
66,11,0,17.5637249730766
67,1,0,84.2750324066777
67,2,0,138.150247275204
67,3,0,122.526969345112
67,4,0,122.526969345112
67,5,0,147.066933284828
67,6,0,147.066933284828
67,7,0,52.5681298957518
67,8,0,69.9134348102029
67,9,0,93.4065995992115
67,10,1,66.2587111124506
67,11,0,66.2587111124506
68,1,0,68.5391978086785
68,2,0,89.5806905821122
68,3,1,40.594930140529
68,4,0,40.594930140529
68,5,0,74.0089064773679
68,6,0,74.0089064773679
68,7,0,94.9735782090648
68,8,0,87.1401020076292
68,9,0,90.4664049613269
68,10,0,100.13418434937
68,11,0,100.13418434937
69,1,0,71.7638238552292
69,2,0,170.116565813025
69,3,0,117.95075133773
69,4,0,117.95075133773
69,5,0,161.246684007415
69,6,0,161.246684007415
69,7,0,106.639827704624
69,8,0,122.262050499965
69,9,0,146.202804641909
69,10,1,71.6932904506565
69,11,0,71.6932904506565
70,1,0,39.125211378806
70,2,0,133.294618412914
70,3,0,97.0853094719482
70,4,0,97.0853094719482
70,5,0,134.354820148068
70,6,0,134.354820148068
70,7,0,38.8409772294345
70,8,0,63.8618935150918
70,9,0,93.8424752823778
70,10,1,10.2508979853806
70,11,0,10.2508979853806
71,1,0,85.6080872779069
71,2,0,37.7176820811923
71,3,0,23.8381910181066
71,4,0,23.8381910181066
71,5,1,21.8889422489653
71,6,0,21.8889422489653
71,7,0,90.6857623341362
71,8,0,70.2114686397122
71,9,0,55.6589078382439
71,10,0,116.177359264559
71,11,0,116.177359264559
72,1,0,53.4460558513672
72,2,0,63.1717339957646
72,3,0,46.8891746272326
72,4,0,46.8891746272326
72,5,0,68.6235983673744
72,6,0,68.6235983673744
72,7,0,34.2011576951678
72,8,1,9.33469772046294
72,9,0,23.003945412386
72,10,0,72.1879543970899
72,11,0,72.1879543970899
73,1,0,14.1894523166536
73,2,0,97.2197712575814
73,3,0,57.9488396157734
73,4,0,57.9488396157734
73,5,0,96.1645890045468
73,6,0,96.1645890045468
73,7,0,25.4895286071397
73,8,0,36.6309357001469
73,9,0,63.1295255218157
73,10,1,35.8097062385951
73,11,0,35.8097062385951
74,1,0,127.140462629525
74,2,0,169.08017087327
74,3,0,122.363133902147
74,4,1,122.363133902147
74,5,0,151.246581044762
74,6,0,151.246581044762
74,7,0,163.455501585578
74,8,0,163.396998429632
74,9,0,171.585596440594
74,10,0,149.701645998767
74,11,0,149.701645998767
75,1,0,32.8582816214574
75,2,0,94.7784849530769
75,3,1,42.2273937268534
75,4,0,42.2273937268534
75,5,0,85.6021224373499
75,6,0,85.6021224373499
75,7,0,63.7383129415698
75,8,0,63.4207344077536
75,9,0,77.8659191183206
75,10,0,64.3194374509285
75,11,0,64.3194374509285
76,1,0,56.7270030811422
76,2,0,64.1480668628238
76,3,0,51.4361187900793
76,4,0,51.4361187900793
76,5,0,70.9518482667761
76,6,0,70.9518482667761
76,7,0,34.0001668978308
76,8,1,8.30618347452904
76,9,0,21.7346209454514
76,10,0,73.6117039029686
76,11,0,73.6117039029686
77,1,0,83.9069293041311
77,2,0,108.665263463638
77,3,0,103.72267570666
77,4,0,103.72267570666
77,5,0,120.271609068544
77,6,0,120.271609068544
77,7,1,45.5520670278547
77,8,0,49.2844182204649
77,9,0,64.8406357437546
77,10,0,78.9780402093744
77,11,0,78.9780402093744
78,1,0,62.4332017462303
78,2,0,120.206796724192
78,3,0,100.313282251466
78,4,0,100.313282251466
78,5,0,127.318134760435
78,6,0,127.318134760435
78,7,0,29.7531398967548
78,8,0,49.3817518733506
78,9,0,75.811460527934
78,10,1,49.506369279081
78,11,0,49.506369279081
79,1,0,85.991267408562
79,2,0,36.5080978773247
79,3,0,54.4613426751018
79,4,0,54.4613426751018
79,5,0,50.2683191712244
79,6,0,50.2683191712244
79,7,0,66.5678874378643
79,8,0,41.0094887199733
79,9,1,11.016439289462
79,10,0,106.089718531122
79,11,0,106.089718531122
80,1,0,57.2151671935015
80,2,0,73.5680834015824
80,3,0,21.2717578842831
80,4,1,21.2717578842831
80,5,0,60.776583172922
80,6,0,60.776583172922
80,7,0,77.6780698869316
80,8,0,67.3560005931516
80,9,0,70.0560840984561
80,10,0,89.5881233183443
80,11,0,89.5881233183443
81,1,0,55.0236614735791
81,2,0,65.4929838281659
81,3,0,51.3189289055732
81,4,0,51.3189289055732
81,5,0,71.9245567282041
81,6,0,71.9245567282041
81,7,0,32.4139449015459
81,8,1,6.71198170996762
81,9,0,23.4152638800452
81,10,0,71.8638807852352
81,11,0,71.8638807852352
82,1,0,103.63848483567
82,2,0,139.899214845554
82,3,0,133.298688785097
82,4,0,133.298688785097
82,5,0,151.660507929153
82,6,0,151.660507929153
82,7,1,67.9909111349964
82,8,0,78.7528589312597
82,9,0,96.2386293915409
82,10,0,89.1236769198345
82,11,0,89.1236769198345
83,1,0,57.5424895796518
83,2,0,50.0779349279049
83,3,1,30.0289944616202
83,4,0,30.0289944616202
83,5,0,52.0137741874212
83,6,0,52.0137741874212
83,7,0,49.4899662009448
83,8,0,27.2153682099597
83,9,0,23.4004671097273
83,10,0,82.3723049509751
83,11,0,82.3723049509751
84,1,0,63.125705881861
84,2,0,112.71173865646
84,3,0,95.5844671836791
84,4,0,95.5844671836791
84,5,0,120.575971815696
84,6,0,120.575971815696
84,7,1,27.0411873457291
84,8,0,42.9795140459846
84,9,0,68.1113295722302
84,10,0,54.5229991207786
84,11,0,54.5229991207786
85,1,0,88.9465482301789
85,2,0,133.018516465525
85,3,0,83.5606713756655
85,4,1,83.5606713756655
85,5,0,116.651118773609
85,6,0,116.651118773609
85,7,0,124.024487653623
85,8,0,123.074392207398
85,9,0,131.795405020092
85,10,0,114.513702493038
85,11,0,114.513702493038
86,1,0,54.4340445762668
86,2,0,128.451801649861
86,3,0,101.765781045491
86,4,0,101.765781045491
86,5,0,133.292511188351
86,6,0,133.292511188351
86,7,0,31.8242525410697
86,8,0,56.3629547877758
86,9,0,85.2790764331964
86,10,1,34.8846809233115
86,11,0,34.8846809233115
87,1,0,62.1919307132007
87,2,0,143.83187464791
