idVotante,idCentro,distancia
1,1,0.7144255928484438
1,2,1.9393747208722345
1,3,1.409193975641372
1,4,1.9450269803459557
1,5,0.44431651769586955
1,6,0.8468986022988907
1,7,1.3255143127147708
1,8,0.48192134255521357
1,9,1.5587500290641265
1,10,0.8194075440393674
1,11,1.553487350192343
1,12,1.8753091640722714
1,13,1.8290673396277761
1,14,0.5829221393253902
1,15,1.0321984050040494
1,16,0.6136533180789567
1,17,0.9953063182485471
1,18,0.4811036718171408
1,19,0.8521828619023788
1,20,0.33766513657425745
1,21,0.8253975606578573
1,22,0.8823770330859242
1,23,1.724060935982813
1,24,1.6379958040809672
1,25,0.885267710606226
1,26,1.7102983096113529
1,27,1.5200352169965112
1,28,0.8413411607615432
1,29,1.0046933982990018
1,30,1.2657083316071656
2,1,0.6838367949927352
2,2,1.294697629614184
2,3,0.8461772009914956
2,4,1.3018383292490412
2,5,0.20425374844294725
2,6,0.22513199729040478
2,7,0.7082793525157155
2,8,0.8769909259633294
2,9,1.0401894015576043
2,10,0.4642123934497184
2,11,0.9379480998211527
2,12,1.2280161171604556
2,13,1.1932030572680887
2,14,0.2327869289774817
2,15,0.38517994105967257
2,16,0.7176655294310748
2,17,0.6510295998934288
2,18,0.2000218857945822
2,19,0.6051790546977415
2,20,0.30992154764863505
2,21,0.9315750837424759
2,22,0.8189871673854314
2,23,1.116507056964559
2,24,0.9993935443762219
2,25,0.2977561100607154
2,26,1.0839736514653777
2,27,0.8797279381293247
2,28,0.9620855725298314
2,29,0.7020716635598833
2,30,0.8311080084239051
3,1,0.44227263523307886
3,2,1.4507616891925774
3,3,0.8407153611599671
3,4,1.408918519879955
3,5,0.2437054897827074
3,6,0.4533992377308709
3,7,0.9153736403252413
3,8,0.6719611497354846
3,9,0.9970982008729183
3,10,0.6905212689529794
3,11,1.1410514206226858
3,12,1.358809949086026
3,13,1.3702485341020665
3,14,0.016624891934284264
3,15,0.5380363112612406
3,16,0.8445863352206004
3,17,0.8835453773244918
3,18,0.3115296366166168
3,19,0.8179258020015141
3,20,0.2793317844660674
3,21,1.0747082597623938
3,22,1.0013497709391574
3,23,1.3223710605502668
3,24,1.1748657736812305
3,25,0.5351138306150777
3,26,1.274817657936559
3,27,1.054277533330068
3,28,1.1027119525021902
3,29,0.9297977932670015
3,30,1.0736122519500364
4,1,0.99859659661343
4,2,0.9710409756823135
4,3,0.7857108765555675
4,4,1.0365651879921123
4,5,0.5423610557236385
4,6,0.13640709874717585
4,7,0.3499896042967441
4,8,1.2371445178776415
4,9,1.0109996654790914
4,10,0.40751919010122084
4,11,0.5799206691345007
4,12,0.935237219885336
4,13,0.8509563468529813
4,14,0.5676476714184749
4,15,0.20907882356040447
4,16,0.8466821372373019
4,17,0.5083320410083151
4,18,0.4979416376423671
4,19,0.5610269328602682
4,20,0.651248095453864
4,21,1.0061574366019972
4,22,0.824386146656271
4,23,0.7568389913508259
4,24,0.6621973111152738
4,25,0.10808450923803833
4,26,0.7320843609587799
4,27,0.5471850579867586
4,28,1.0382399304397225
4,29,0.5762709618777915
4,30,0.5683934418025504
5,1,1.4570947164958032
5,2,2.6334709708909676
5,3,1.7286426382153666
5,4,2.3652844647773303
5,5,2.086799029316173
5,6,2.2119478040864893
5,7,2.486130000995303
5,8,1.703863737018223
5,9,1.5685158241329469
5,10,2.536956024725253
5,11,2.6376931142282465
5,12,2.4506457349461734
5,13,2.681715785225133
5,14,1.8597680909111527
5,15,2.110892077329267
5,16,2.6582865389296257
5,17,2.720833973957166
5,18,2.163702084421476
5,19,2.6731726418898143
5,20,2.06860582411802
5,21,2.892509701041344
5,22,2.8528260327394177
5,23,2.792759148708085
5,24,2.5371512038040804
5,25,2.303147933548704
5,26,2.679660363934719
5,27,2.453042669814696
5,28,2.9164203467974303
5,29,2.7743952955328193
5,30,2.8547555446228894
6,1,1.26496773822653
6,2,1.1368166471817238
6,3,0.487624587873747
6,4,0.8315958453412037
6,5,1.4835976412016925
6,6,1.2893554102312976
6,7,1.2589930444878177
6,8,1.7350379718197253
6,9,0.28269027813802566
6,10,1.6656648413693182
6,11,1.3094865878841375
6,12,0.9473430266809513
6,13,1.2333093019176136
6,14,1.2661109109314361
6,15,1.064360915092212
6,16,2.034382383562136
6,17,1.776165714076447
6,18,1.5141857706639812
6,19,1.8235941576430752
6,20,1.552019696817127
6,21,2.234625944635574
6,22,2.0806690693239402
6,23,1.414332444729823
6,24,1.1458362701419393
6,25,1.3510877165971833
6,26,1.2821850912377686
6,27,1.1078797980224104
6,28,2.2662802356401
6,29,1.8447348489327144
6,30,1.7629561014280586
7,1,0.991516777729513
7,2,1.5694976628915103
7,3,1.2936000248137383
7,4,1.6516792759167866
7,5,0.3601824236922254
7,6,0.5231353376257118
7,7,0.9161158168817992
7,8,0.96812141233219
7,9,1.4951210850170262
7,10,0.3089081295188787
7,11,1.1273899504819498
7,12,1.5484865566620576
7,13,1.4302716434828437
7,14,0.6035409924272442
7,15,0.7618718473343563
7,16,0.2599748646792343
7,17,0.4660544497692593
7,18,0.2915251535883162
7,19,0.3198758499745826
7,20,0.3812972075608895
7,21,0.4776952691199933
7,22,0.4114885571880428
7,23,1.2802050343156037
7,24,1.2542003142647011
7,25,0.5071468653088126
7,26,1.2949189329520814
7,27,1.1474708588607154
7,28,0.5072552319155436
7,29,0.47229526176490555
7,30,0.7436218691213153
8,1,0.906268868877701
8,2,1.1552375555714138
8,3,0.8881374280808908
8,4,1.2135239339925818
8,5,0.37367764911872775
8,6,0.08703336737640957
8,7,0.5252686522852907
8,8,1.08969947529926
8,9,1.1042749600502755
8,10,0.2989416901060091
8,11,0.7532768451533673
8,12,1.1170101223378548
8,13,1.0330441249586655
8,14,0.456561810761678
8,15,0.3260163904843422
8,16,0.6850885253567546
8,17,0.45848370617716677
8,18,0.31980968627826023
8,19,0.45651444013247794
8,20,0.480485132744798
8,21,0.8644394245289619
8,22,0.7060993056659067
8,23,0.9256280642484814
8,24,0.8456878320392327
